INFO 2026-02-10 02:57:24,952 autoreload 31532 Watching for file changes with StatReloader
INFO 2026-02-10 03:00:38,109 autoreload 17592 Watching for file changes with StatReloader
INFO 2026-02-10 03:02:21,887 autoreload 31100 Watching for file changes with StatReloader
INFO 2026-02-10 03:03:38,632 autoreload 32772 Watching for file changes with StatReloader
INFO 2026-02-11 06:41:17,680 autoreload 29936 Watching for file changes with StatReloader
INFO 2026-02-11 06:42:28,196 autoreload 32264 Watching for file changes with StatReloader
INFO 2026-02-11 06:42:31,106 autoreload 6304 Watching for file changes with StatReloader
INFO 2026-02-11 06:42:35,045 autoreload 19348 Watching for file changes with StatReloader
INFO 2026-02-11 06:42:43,541 autoreload 19740 Watching for file changes with StatReloader
INFO 2026-02-11 06:42:46,500 autoreload 2232 Watching for file changes with StatReloader
INFO 2026-02-11 06:42:54,769 autoreload 15508 Watching for file changes with StatReloader
WARNING 2026-02-11 06:43:30,408 log 2232 Not Found: /
WARNING 2026-02-11 06:43:30,643 log 2232 Not Found: /favicon.ico
WARNING 2026-02-11 06:43:33,466 log 2232 Not Found: /
WARNING 2026-02-11 06:43:35,689 log 2232 Not Found: /
INFO 2026-02-11 06:44:06,686 autoreload 8744 Watching for file changes with StatReloader
INFO 2026-02-11 06:44:06,686 autoreload 31944 Watching for file changes with StatReloader
WARNING 2026-02-11 06:44:39,864 log 8744 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 06:44:39,867 log 8744 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 06:44:39,870 log 8744 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 06:44:39,870 log 8744 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 06:44:39,870 log 8744 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 06:44:39,875 log 8744 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 06:44:39,877 log 8744 Not Found: /static/admin/js/nav_sidebar.js
INFO 2026-02-11 07:39:05,597 autoreload 12624 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:05,597 autoreload 2748 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:18,096 autoreload 25552 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:18,096 autoreload 36748 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:21,682 autoreload 7948 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:21,685 autoreload 36556 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:24,345 autoreload 35884 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:24,346 autoreload 36128 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:44,613 autoreload 34576 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:44,633 autoreload 36860 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:56,736 autoreload 5008 Watching for file changes with StatReloader
INFO 2026-02-11 07:39:56,736 autoreload 30752 Watching for file changes with StatReloader
INFO 2026-02-11 07:40:20,736 autoreload 30852 Watching for file changes with StatReloader
INFO 2026-02-11 07:40:20,774 autoreload 31504 Watching for file changes with StatReloader
INFO 2026-02-11 07:40:28,648 autoreload 10932 Watching for file changes with StatReloader
INFO 2026-02-11 07:40:28,651 autoreload 35256 Watching for file changes with StatReloader
WARNING 2026-02-11 07:53:31,685 log 10932 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:53:31,685 log 10932 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:53:31,686 log 10932 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:53:31,686 log 10932 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:53:31,689 log 10932 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:53:31,698 log 10932 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:53:31,700 log 10932 Not Found: /static/admin/js/theme.js
INFO 2026-02-11 07:57:13,325 autoreload 29356 Watching for file changes with StatReloader
INFO 2026-02-11 07:57:13,686 autoreload 35856 Watching for file changes with StatReloader
INFO 2026-02-11 07:57:26,659 autoreload 35984 Watching for file changes with StatReloader
INFO 2026-02-11 07:57:27,349 autoreload 10764 Watching for file changes with StatReloader
INFO 2026-02-11 07:57:29,001 autoreload 21208 Watching for file changes with StatReloader
WARNING 2026-02-11 07:57:52,643 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:57:52,644 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:57:52,645 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:57:52,647 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:57:52,650 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:57:52,650 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:57:52,652 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 07:57:52,678 log 10764 Not Found: /favicon.ico
WARNING 2026-02-11 07:58:01,001 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:58:01,002 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:58:01,003 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:58:01,004 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:58:01,004 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:58:01,005 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 07:58:01,011 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:58:01,693 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:58:01,694 log 10764 Not Found: /static/admin/css/dark_mode.css
